Id,A,B,C,Output
1,0.25,0.29,0.34,Out0
2,0.58,0.2,4.56,Out1
3,0.54,4.85,1.25,Out2
4,1.07,4.08,3.94,Out3
5,3.83,0.34,0.87,Out4
6,4.46,0.92,4.66,Out5
7,3.78,4.42,0.48,Out6
8,0.97,0.2,0.63,Out0
9,0.88,0.63,3.99,Out1
10,1.22,4.28,0.72,Out2
11,0.88,4.13,4.47,Out3
12,4.03,1.01,0.15,Out4
13,4.37,0.92,3.8,Out5
14,4.22,3.89,1.11,Out6
15,0.34,1.2,0.58,Out0
16,1.17,0.44,4.56,Out1
17,1.07,4.8,0.48,Out2
18,0.83,4.08,4.04,Out3
19,4.12,0.77,0.68,Out4
20,4.22,0.82,4.37,Out5
21,4.37,4.85,0.82,Out6
22,0.88,0.96,0.63,Out0
23,0.25,0.1,4.61,Out1
24,0.44,4.18,0.29,Out2
25,0.25,4.66,3.8,Out3
26,3.83,0.72,0.24,Out4
27,3.93,0.53,4.13,Out5
28,4.12,4.71,1.01,Out6
29,1.22,0.53,0.24,Out0
30,0.39,1.16,4.66,Out1
31,0.39,3.8,0.2,Out2
32,0.73,3.75,4.08,Out3
33,4.27,1.06,1.3,Out4
34,4.42,0.44,4.56,Out5
35,3.88,4.71,0.58,Out6
36,1.02,0.77,0.34,Out0
37,0.58,0.72,4.8,Out1
38,1.17,4.85,0.63,Out2
39,1.02,4.8,4.18,Out3
40,4.32,0.53,0.77,Out4
41,4.51,1.01,4.85,Out5
42,4.42,4.9,1.16,Out6
43,1.02,0.72,1.06,Out0
44,0.73,1.3,4.42,Out1
45,0.44,4.42,0.96,Out2
46,0.44,4.08,4.76,Out3
47,4.03,0.63,0.2,Out4
48,4.46,0.44,4.85,Out5
49,4.71,4.37,1.2,Out6
50,0.78,1.11,1.06,Out0
51,0.54,0.39,3.89,Out1
52,1.22,4.61,0.48,Out2
53,0.15,4.23,3.99,Out3
54,4.85,0.77,0.63,Out4
55,4.71,1.25,4.9,Out5
56,3.93,4.61,0.1,Out6
57,0.49,0.15,1.01,Out0
58,0.92,0.24,3.8,Out1
59,1.17,4.32,0.39,Out2
60,0.34,4.08,4.23,Out3
61,4.71,0.29,0.82,Out4
62,3.74,0.53,4.37,Out5
63,4.27,4.08,1.25,Out6
64,0.68,0.39,0.87,Out0
65,0.97,0.96,4.28,Out1
66,0.73,4.13,0.24,Out2
67,0.44,4.85,4.23,Out3
68,3.88,0.44,0.96,Out4
69,4.8,0.92,4.76,Out5
70,4.42,4.9,1.01,Out6
71,0.88,0.2,0.58,Out0
72,0.44,0.96,4.23,Out1
73,0.63,4.42,0.2,Out2
74,1.02,3.89,4.71,Out3
75,4.75,0.63,0.29,Out4
